Wires      Total Counts    CT Counts    CT (%)
375 376    0             0            -nan
376 377    0             0            -nan
377 378    0             0            -nan
378 379    0             0            -nan
379 380    0             0            -nan
380 381    0             0            -nan
381 382    0             0            -nan
382 383    0             0            -nan
383 384    0             0            -nan
384 385    0             0            -nan
385 386    0             0            -nan
386 387    0             0            -nan
387 388    0             0            -nan
388 389    0             0            -nan
389 390    0             0            -nan
390 391    0             0            -nan
391 392    0             0            -nan
392 393    0             0            -nan
393 394    0             0            -nan
394 395    0             0            -nan
395 396    0             0            -nan
396 397    0             0            -nan
397 398    0             0            -nan
398 399    0             0            -nan
